Ord;Betydelse
AED;Emirat
AUD;Australien
B/o;administrativ avdelning
backoffice;administrativ avdelning
bel;belopp
bet;betalning
boffice;administrativ avdelning
CAD;Kanada
cashflow;kassaflöde
CHF;Schweitz
CNH;Kina
CNY;Kina
conv;konversation
cpty;motpart
CZK;Tjeckien
d;datum
dat;datum
deletad;borttagen
disp;disponerad
DKK;Danmark
dubbelregg;dubbel registrering
DUPL;Dubblett
EUR;Europa
ff;förfalla
fol;folder
förf;Förfalla
förtidsdisp;förtid disponering
gbg;Göteborg
GBP;Storbritannien
HKD;Hongkong
HRK;Kroatien
HUF;Ungern
ILS;Israel
INR;Indien
inst;instruktioner
instr;instruktioner
instru;instruktioner
JPY;Japan
KES;Kenya
korr;Korrigerat
kto;konto
kton;konto
kur;kurs
kus;kurs
LTL;Litauen
mak;makulering
marg;marginal
marginaländr;marginaländring
motp;mortpart
motpar;motpart
MXN;Mexiko
nettas;balanseras
NOK;Norge
NZD;Nya Zeeland
omreggad;omregistrerad
p;på
p g a;på grund av
p.u.a;på uppdrag av
pg a;på grund av
pga;på grund av
PIPS;decimalpunkt
PLN;Polen
portf;portfölj
portf;portfölj
pr;pris
produk;produkt
pua;på uppdrag av
QAR;Qatar
r+u;förfrågan uppdatering
reg;registrera
reggad;registrera
RON;Rumänien
RUB;Ryssland
SEK;Sverige
SGD;Singapore
slu;slut
slutda;slut dag
spit;split
spl;split kurs
swapfolder;swap folder
THB;Thailand
TRY;Turkiet
updatefolder;uppdatera mapp
updatesplit;uppdatering split
uppd;uppdaterat
USD;USA
utl;utlägg
val;Valuta
valdag;valuta dag
ZAR;Sydafrika
ändr;ändra
önske;önskemål
interimskonto;interim konto
forwardpips;forward decimalpunkt
booket;boka
optionsdelta;option delta
terminskurs;kurs
betalningsinstruktioner;betalning instruktion
kortnamn;kort namn
valdag;valuta dag
systemfel;system fel
splitkurs;split kurs
spotstart;spot start
affärfel;affär fel
interbankportfölj;portfölj
reggat;registrera
startdag;start dag
förtidsinlösen;förtid inlösen
förtidsdisponerad;förtid disponering
heldisponerad;hel disponering
heldisp;hel disponering
handläggarfel;handläggare fel
förfallodag;förfalla dag
amnt;antal
valutadag;valuta dag
förtidsinlösning;förtid inlösa
qty;kvantitet
ffd;Förfallodag
k+;Handlarsystem
kto;Konto
MoL;Marknad 
NDF;Icke leveransbart framtida terminskontrakt
sim;simulering
UTI;Referensnummer
nr;nummer
